Kód obce;Název obce;Voliči v seznamu;Vydané obálky;Odevzdané obálky;Platné hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Dělnic.str.sociální spravedl.;Dobrá volba 2016;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;Radostné Česko;REALISTÉ;Referendum o Evropské unii;ROZUMNÍ-stop migraci,diktát.EU;Řád národa - Vlastenecká unie;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.
532193;Lštění;331;225;225;226;43;0;0;30;11;0;0;0;20;8;1;32;0;1;1;1;0;0;0;24;1;6;2;16;28;1
530115;Maršovice;602;421;421;419;131;0;0;55;23;0;2;0;43;24;0;26;0;3;0;2;0;0;1;35;0;4;11;36;23;0
530158;Mezno;297;203;203;201;57;0;0;18;18;0;1;0;24;9;0;20;0;3;0;1;0;2;0;19;1;11;0;14;3;0
530166;Miličín;728;449;449;449;176;0;0;40;27;1;0;0;28;21;1;33;0;1;2;6;0;0;1;44;0;3;6;35;23;1
530174;Miřetice;149;102;102;100;34;0;0;9;2;0;0;0;0;7;0;18;0;2;0;0;0;1;0;8;0;0;0;15;4;0
530191;Mnichovice;184;114;114;114;43;2;0;10;9;0;0;0;16;11;0;8;0;0;0;1;0;0;0;5;0;0;3;6;0;0
530204;Mrač;637;431;429;429;140;0;0;47;19;0;1;1;34;8;0;47;0;5;1;4;0;1;0;56;0;7;12;32;14;0
530212;Načeradec;881;512;512;509;182;1;0;51;28;0;3;0;52;34;1;42;1;2;0;1;1;2;1;42;0;6;2;43;14;0
530263;Nespeky;545;390;389;388;116;0;0;63;24;0;1;0;19;8;0;65;0;1;1;1;0;0;0;26;0;3;6;20;34;0
530298;Netvořice;899;575;574;573;189;1;0;60;42;0;4;1;60;8;0;64;0;0;2;1;1;0;1;46;1;10;6;53;23;0
530301;Neustupov;423;264;264;263;98;0;0;15;26;0;0;0;21;9;0;5;0;2;0;4;0;1;0;24;0;11;3;31;11;2
530310;Neveklov;2 080;1 238;1 237;1 218;376;3;0;147;81;1;6;1;82;39;3;153;1;1;2;8;2;2;4;76;1;18;21;106;83;1
530344;Olbramovice;991;664;664;660;285;0;1;49;41;0;1;1;61;20;0;44;0;7;0;3;0;2;0;57;3;1;9;43;28;4
599395;Ostrov;52;32;32;30;10;0;0;5;0;0;0;0;4;1;1;2;0;1;0;0;0;0;0;3;0;0;0;3;0;0
530352;Ostředek;292;206;206;205;75;1;0;25;15;0;0;0;6;12;0;18;0;0;1;8;0;0;0;18;0;3;2;9;12;0
533076;Pavlovice;168;121;121;119;37;0;0;6;13;0;0;0;15;10;0;4;0;0;0;4;2;0;1;6;0;2;2;13;4;0
530409;Petroupim;243;161;161;161;61;1;0;13;13;0;0;0;6;2;0;21;0;1;0;2;2;0;3;22;0;0;3;6;5;0
532649;Popovice;233;157;157;155;51;0;0;16;15;0;0;0;18;5;0;13;0;0;1;1;0;0;0;10;0;1;2;19;3;0
530441;Poříčí nad Sázavou;987;671;670;669;211;0;0;51;46;0;0;2;24;20;0;102;0;2;1;3;0;2;0;63;3;9;7;69;54;0
530450;Postupice;1 030;662;662;653;255;0;0;76;30;0;2;0;42;20;0;68;2;10;2;3;0;1;0;70;3;4;7;41;17;0
530476;Pravonín;447;290;290;289;95;0;0;29;19;0;0;0;30;11;0;26;0;6;0;0;0;0;0;22;0;9;2;34;6;0
530492;Přestavlky u Čerčan;296;222;222;221;82;0;0;24;13;0;1;0;10;7;0;39;0;0;0;4;1;0;0;10;1;1;2;10;15;1
530514;Psáře;113;69;69;69;13;0;0;7;5;0;0;0;7;6;0;10;0;0;0;0;0;1;0;7;0;1;1;8;3;0
538680;Pyšely;1 399;1 014;1 014;1 008;223;1;1;146;60;0;0;0;40;27;3;175;0;7;3;7;0;0;0;135;2;18;16;70;73;1
530522;Rabyně;235;168;168;168;41;0;0;19;9;0;0;0;11;8;0;38;0;0;0;2;1;0;0;11;3;1;0;15;9;0
530531;Radošovice;296;184;184;183;38;0;0;16;8;0;0;0;16;33;0;19;0;1;0;2;1;1;0;20;0;6;0;11;10;1
530549;Rataje;140;104;104;104;28;0;0;6;10;0;0;0;11;12;0;8;0;0;0;2;0;0;0;10;0;0;2;12;3;0
532550;Ratměřice;238;156;156;155;41;0;0;10;7;0;3;0;10;4;0;18;1;1;0;0;0;0;0;35;0;1;2;10;12;0
538710;Řehenice;366;252;252;252;69;0;0;48;15;0;0;0;8;4;0;34;0;1;1;4;0;0;0;26;0;2;2;17;20;1
532941;Řimovice;180;108;108;108;27;0;0;18;5;0;0;0;10;9;0;7;0;0;0;1;0;0;0;8;0;1;1;15;6;0
534382;Sázava;3 090;1 881;1 877;1 867;515;3;2;180;203;0;5;1;155;37;4;216;2;7;5;7;5;9;4;193;5;22;27;182;78;0
532231;Slověnice;31;22;22;22;8;0;0;1;1;0;0;0;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0
530611;Smilkov;231;146;146;144;62;0;0;8;15;0;0;0;17;10;0;3;0;0;0;1;0;0;0;14;0;0;1;12;1;0
532436;Snět;89;64;64;64;21;0;0;11;3;0;0;0;1;8;0;11;0;0;0;0;0;0;0;2;0;0;0;6;1;0
530638;Soběhrdy;319;227;227;225;74;2;0;25;17;0;1;0;12;9;0;23;0;2;0;1;0;1;0;24;0;2;2;16;14;0
599387;Soutice;219;146;146;146;70;0;0;8;14;0;0;0;8;4;0;6;0;0;0;1;0;3;0;11;0;4;1;14;2;0
599379;Stranný;82;51;51;51;13;0;0;4;7;0;0;0;6;0;0;6;0;1;0;0;0;0;0;5;1;0;0;3;5;0
599361;Strojetice;103;77;77;76;23;0;0;8;8;0;0;0;10;3;0;1;0;1;0;2;0;0;1;7;0;1;1;6;4;0
530689;Struhařov;670;461;461;459;180;0;2;48;24;0;1;0;35;10;1;59;0;2;1;2;1;0;0;32;3;5;7;31;15;0
530701;Střezimíř;263;174;174;174;76;0;0;16;5;1;0;0;12;7;0;12;0;0;0;2;0;0;0;17;0;6;1;18;1;0
530719;Studený;82;54;54;54;18;0;0;2;3;0;0;1;7;5;0;8;0;0;0;0;1;0;0;8;0;0;0;1;0;0
532509;Šetějovice;48;38;38;38;15;0;0;1;4;0;0;0;1;5;0;3;0;0;0;0;0;0;0;4;0;0;0;4;1;0
530751;Tehov;249;165;165;165;56;0;0;11;21;0;0;0;15;7;0;3;0;1;0;2;0;0;0;13;1;0;1;26;8;0
530760;Teplýšovice;383;289;289;288;96;0;0;26;25;0;0;0;17;24;0;22;0;3;1;2;0;0;1;41;0;3;6;17;4;0
530778;Tichonice;179;137;137;137;50;1;0;10;14;0;0;0;9;2;0;16;0;0;0;0;0;6;0;5;0;5;0;13;5;1
532592;Tisem;184;128;128;128;42;0;0;12;15;0;0;0;7;3;0;8;0;0;0;0;0;0;0;12;0;1;3;19;6;0
532541;Tomice;105;75;75;75;26;1;0;2;4;0;1;0;8;13;0;4;0;0;0;0;0;0;0;2;0;2;0;12;0;0
530816;Trhový Štěpánov;1 029;643;642;634;217;0;1;59;42;0;2;0;40;45;0;62;0;6;0;7;0;1;2;48;0;6;5;66;25;0
532304;Třebešice;82;68;68;68;14;0;0;15;3;0;0;0;5;2;0;13;0;0;0;0;0;0;0;8;0;1;1;3;3;0
530841;Týnec nad Sázavou;4 550;2 943;2 940;2 922;999;0;0;307;175;0;20;1;265;55;5;295;4;9;5;33;5;4;8;272;12;36;33;272;104;3
532061;Václavice;455;290;290;289;85;0;0;32;27;0;2;0;12;10;0;30;0;4;1;1;0;1;1;41;3;13;0;21;5;0
530867;Veliš;270;189;189;189;71;0;0;6;9;0;0;0;15;23;1;9;0;0;0;2;0;2;1;16;0;1;0;25;8;0
530883;Vlašim;9 453;5 687;5 677;5 644;1 862;2;8;525;534;3;8;2;465;309;2;504;2;30;2;32;9;12;7;368;12;61;57;610;216;2
532614;Vodslivy;84;43;43;43;10;1;0;4;3;0;1;0;0;5;0;5;0;0;0;1;0;0;0;1;0;2;0;8;2;0
530891;Vojkov;427;250;250;249;90;0;1;27;23;2;0;1;23;14;0;21;1;3;0;1;1;0;0;15;0;1;2;16;7;0
530905;Votice;3 676;2 230;2 229;2 219;779;7;0;231;196;1;3;0;167;74;2;208;1;10;0;15;4;4;4;182;4;34;15;187;90;1
530913;Vracovice;326;201;201;199;67;0;0;22;14;0;0;3;9;22;0;14;0;0;0;3;1;1;0;15;0;6;0;12;10;0
530921;Vranov;332;244;244;244;80;1;0;28;11;0;0;1;21;14;1;29;0;0;1;1;0;0;0;26;0;3;2;11;14;0
530948;Vrchotovy Janovice;785;492;492;488;174;1;0;54;39;0;1;0;38;12;1;24;0;3;0;6;1;1;2;49;1;3;7;52;19;0
532266;Všechlapy;84;65;65;64;11;0;0;7;4;0;0;0;5;1;0;17;0;0;0;0;0;0;0;6;0;0;0;6;7;0
513482;Vysoký Újezd;163;113;113;113;30;1;0;3;11;0;1;0;12;2;0;20;0;8;0;5;0;0;0;1;0;4;3;4;8;0
571415;Xaverov;49;36;36;36;3;0;0;5;6;0;0;0;4;4;0;3;0;0;0;0;0;0;0;10;0;0;0;1;0;0
531022;Zdislavice;462;320;320;318;120;0;0;24;23;0;1;0;34;24;0;18;0;6;0;1;1;0;0;25;0;7;2;22;10;0
531049;Zvěstov;303;178;178;178;65;0;0;10;16;0;0;0;6;10;0;20;0;1;0;2;0;0;0;21;1;4;1;15;6;0
